employee_id,age,education_level,department,job_role,years_experience,training_hours,avg_monthly_hours,satisfaction_level,last_performance_score,absenteeism_days,promotion_last_5yrs,performance_label
E10362,30,Bachelors,Finance,Operator,13,41,144,0.913,1,4,0,Low
E10363,55,High School,HR,Manager,37,43,171,1.0,5,2,0,High
E10364,26,Bachelors,Finance,Technician,5,35,168,0.782,4,3,0,Medium
E10365,41,Bachelors,R&D,Operator,27,37,156,0.575,2,3,0,Low
E10366,39,Bachelors,Finance,Analyst,23,27,171,0.816,1,3,0,Low
E10367,34,High School,HR,Analyst,15,36,130,0.702,5,3,0,Medium
E10368,22,High School,Sales,Analyst,5,44,163,0.657,2,2,0,Low
E10369,51,Bachelors,Sales,Technician,33,41,151,0.545,5,3,0,Medium
E10370,34,High School,Production,Technician,16,30,217,0.616,4,2,0,Medium
E10371,47,Masters,Sales,Operator,26,38,163,0.668,5,1,0,High
E10372,37,Bachelors,Production,Engineer,17,41,148,0.845,4,2,0,Medium
E10373,36,Masters,Finance,Manager,21,56,132,0.792,1,1,0,Medium
E10374,55,PhD,Sales,Technician,32,37,186,1.0,1,1,0,Low
E10375,25,High School,Production,Manager,5,53,153,0.821,2,1,0,Low
E10376,49,Bachelors,Sales,Executive,31,55,144,0.776,3,5,0,Medium
E10377,50,Masters,Sales,Manager,29,42,167,0.645,4,1,0,Medium
E10378,36,Bachelors,IT,Technician,19,40,173,0.513,5,0,0,Medium
E10379,31,Bachelors,HR,Analyst,12,38,173,0.597,1,1,0,Low
E10380,22,Bachelors,HR,Executive,0,49,160,0.574,4,3,0,Medium
E10381,57,High School,HR,Manager,39,52,163,0.239,1,1,0,Low
E10382,58,Bachelors,IT,Analyst,40,43,165,0.518,3,2,0,Medium
E10383,31,PhD,Sales,Operator,9,46,167,0.988,1,3,0,Medium
E10384,23,PhD,HR,Technician,4,47,168,0.766,2,0,0,Medium
E10385,26,High School,IT,Engineer,8,33,182,0.632,4,1,0,Medium
E10386,24,Masters,R&D,Engineer,7,36,161,0.772,4,2,0,Medium
E10387,53,Bachelors,Finance,Technician,33,28,144,0.348,5,3,0,Medium
E10388,55,Masters,HR,Technician,40,42,157,0.751,3,2,1,Medium
E10389,27,High School,IT,Executive,3,34,175,0.93,2,4,0,Medium
E10390,50,Masters,Finance,Technician,32,34,124,0.678,5,2,0,Medium
E10391,28,Masters,R&D,Engineer,6,33,124,0.381,5,0,0,Medium
E10392,35,High School,HR,Technician,15,44,178,0.625,5,2,0,Medium
E10393,44,High School,IT,Manager,26,42,190,0.93,4,5,0,Medium
E10394,49,Masters,IT,Manager,33,52,135,0.747,4,3,0,High
E10395,55,High School,Sales,Technician,35,36,162,0.445,1,8,0,Low
E10396,23,Bachelors,IT,Operator,4,43,152,1.0,3,0,0,High
E10397,29,Masters,Sales,Executive,8,49,155,0.474,3,0,0,Medium
E10398,32,Bachelors,IT,Technician,17,47,166,0.656,2,3,0,Medium
E10399,33,Bachelors,Production,Manager,16,37,134,0.513,1,2,0,Low
E10400,59,Bachelors,IT,Operator,35,31,138,0.514,2,1,0,Low
E10401,51,High School,Finance,Executive,34,32,154,0.619,5,2,0,Medium
E10402,34,PhD,HR,Manager,14,44,157,0.815,5,2,0,Medium
E10403,58,Bachelors,Production,Operator,40,33,137,0.932,4,1,0,Medium
E10404,40,High School,Finance,Technician,18,40,176,0.63,1,1,0,Low
E10405,41,Bachelors,Production,Manager,24,30,152,0.518,4,0,0,Medium
E10406,38,PhD,Finance,Manager,20,43,152,0.786,1,0,1,Medium
E10407,27,High School,IT,Engineer,6,40,166,0.791,4,1,0,Medium
E10408,57,Masters,IT,Manager,38,50,157,0.743,1,2,0,Low
E10409,22,Masters,Production,Operator,3,38,177,0.75,2,0,0,Medium
E10410,28,Masters,Production,Technician,10,51,141,0.68,1,0,0,Low
E10411,30,PhD,R&D,Operator,15,45,132,0.718,5,3,0,Medium
E10412,32,Masters,Sales,Executive,9,43,154,0.667,3,0,0,Medium
E10413,27,Masters,Sales,Executive,10,41,161,0.893,5,1,0,Medium
E10414,22,High School,HR,Operator,2,30,135,1.0,1,1,0,Low
E10415,47,Masters,Sales,Manager,24,27,132,0.732,4,3,0,Medium
E10416,58,Bachelors,HR,Engineer,40,32,164,0.699,3,1,0,Medium
E10417,26,Bachelors,Sales,Analyst,8,41,145,0.746,3,2,0,Medium
E10418,33,Masters,Production,Operator,10,36,131,0.582,5,3,0,Medium
E10419,41,PhD,Sales,Executive,27,45,179,0.838,1,1,0,Low
E10420,57,Masters,IT,Operator,35,41,147,0.779,5,1,0,High
E10421,48,Bachelors,R&D,Operator,27,47,183,0.624,1,3,0,Low
E10422,51,Bachelors,HR,Executive,29,43,161,0.862,2,3,0,Medium
E10423,44,Bachelors,Finance,Analyst,28,45,166,0.703,1,0,0,Low
E10424,37,Bachelors,Production,Manager,20,37,156,0.525,3,1,0,Medium
E10425,29,Bachelors,Finance,Analyst,6,34,107,0.763,3,2,1,Medium
E10426,54,High School,Production,Executive,34,54,137,0.743,4,4,0,Medium
E10427,52,High School,IT,Manager,30,35,157,0.873,4,1,0,High
E10428,22,Masters,Finance,Engineer,6,38,167,0.85,4,1,0,Medium
E10429,49,Bachelors,Sales,Engineer,30,42,124,0.68,5,2,0,Medium
E10430,25,Masters,Production,Manager,4,41,159,0.615,3,2,0,Medium
E10431,50,Bachelors,Finance,Executive,29,39,138,0.7,1,4,0,Low
E10432,53,High School,HR,Manager,37,33,165,0.765,1,2,0,Low
E10433,26,High School,R&D,Operator,8,47,160,0.787,2,1,0,Medium
E10434,38,Bachelors,IT,Analyst,17,52,175,0.754,4,0,0,High
E10435,26,PhD,Sales,Manager,11,41,181,0.684,1,2,0,Low
E10436,43,Bachelors,Finance,Executive,24,38,169,0.879,5,1,1,High
E10437,57,Bachelors,HR,Technician,37,50,177,0.579,5,2,0,Medium
E10438,25,Masters,Sales,Executive,9,52,153,1.0,1,1,0,Low
E10439,37,PhD,HR,Operator,21,41,216,0.837,4,2,0,Medium
E10440,58,Bachelors,Production,Analyst,39,43,136,0.497,3,3,0,Medium
E10441,33,High School,HR,Executive,17,41,149,0.733,3,0,0,Medium
E10442,27,High School,IT,Executive,11,53,178,0.839,4,3,0,Medium
E10443,40,High School,Finance,Manager,20,32,175,0.637,3,3,0,Low
E10444,41,High School,Sales,Operator,18,39,170,0.431,2,2,0,Low
E10445,47,Bachelors,Finance,Analyst,31,34,174,0.513,3,1,0,Low
E10446,33,Masters,HR,Analyst,12,34,118,0.798,1,1,1,Low
E10447,58,Bachelors,Finance,Manager,40,29,192,0.384,2,3,0,Low
E10448,41,Bachelors,HR,Operator,22,53,156,0.439,5,1,0,Medium
E10449,32,Bachelors,Sales,Executive,13,39,185,0.797,1,1,0,Medium
E10450,58,Masters,Finance,Engineer,38,37,119,0.66,3,1,0,Low
E10451,57,Bachelors,Finance,Technician,36,29,165,0.575,2,0,0,Medium
E10452,40,Masters,Production,Operator,20,39,149,0.611,3,1,0,Medium
E10453,22,Masters,Finance,Engineer,6,34,171,0.435,2,2,0,Low
E10454,44,Bachelors,R&D,Technician,26,45,166,0.787,3,4,0,Medium
E10455,43,High School,HR,Executive,26,44,167,0.555,3,3,0,Medium
E10456,27,Bachelors,HR,Technician,8,35,139,0.604,4,1,0,Medium
E10457,46,Bachelors,IT,Engineer,29,42,159,0.762,2,3,1,Medium
E10458,53,Masters,R&D,Analyst,37,36,156,0.654,3,2,0,Medium
E10459,26,Bachelors,R&D,Executive,9,41,170,0.573,4,3,0,Medium
E10460,49,Masters,HR,Operator,27,38,180,0.342,4,1,0,Low
E10461,27,Bachelors,R&D,Technician,8,38,163,0.766,3,2,0,Medium
E10462,50,High School,HR,Operator,36,44,134,0.714,2,1,0,Medium
E10463,37,Bachelors,Sales,Manager,15,53,162,0.607,3,1,0,Medium
E10464,22,Bachelors,Sales,Analyst,7,38,212,0.513,3,3,0,Low
E10465,58,Bachelors,IT,Operator,40,42,193,0.702,5,0,0,High
E10466,28,Bachelors,R&D,Analyst,12,35,101,0.786,2,0,0,Medium
E10467,44,Bachelors,Sales,Operator,25,41,161,0.718,2,1,0,Medium
E10468,28,Masters,IT,Operator,7,45,179,0.995,4,0,0,Medium
E10469,57,High School,Sales,Manager,36,36,156,0.827,4,2,0,Medium
E10470,50,Masters,Sales,Engineer,28,36,151,0.681,3,1,0,Medium
E10471,52,High School,Sales,Executive,30,42,155,0.833,1,3,0,Low
E10472,38,High School,R&D,Analyst,18,35,171,0.709,4,2,0,Medium
E10473,39,Bachelors,Production,Analyst,22,47,137,0.708,4,2,0,Medium
E10474,46,Bachelors,HR,Operator,30,40,184,0.933,5,5,0,High
E10475,51,Bachelors,HR,Technician,36,41,159,0.538,3,0,0,Medium
E10476,54,Bachelors,HR,Analyst,32,48,141,0.704,3,2,0,Medium
E10477,22,PhD,R&D,Engineer,5,35,182,0.914,2,2,0,Medium
E10478,47,Bachelors,Finance,Engineer,27,38,129,0.756,3,2,0,Medium
E10479,26,Bachelors,HR,Engineer,7,35,149,0.634,1,1,0,Low
E10480,32,Bachelors,IT,Engineer,17,38,149,0.393,3,3,0,Low
E10481,53,High School,Production,Operator,38,34,203,0.291,4,4,0,Low
E10482,31,Bachelors,Production,Technician,7,42,146,1.0,4,0,0,Medium
E10483,52,Bachelors,IT,Operator,32,29,117,0.756,4,0,0,Medium
E10484,39,Bachelors,Finance,Manager,23,42,148,0.595,5,2,0,Medium
E10485,30,High School,Production,Analyst,10,41,169,0.763,4,1,0,Medium
E10486,34,PhD,Finance,Analyst,10,35,176,0.529,4,4,0,Low
E10487,42,Bachelors,HR,Engineer,26,40,206,0.64,3,0,0,Medium
E10488,51,Masters,Sales,Engineer,27,38,188,0.531,4,1,1,Medium
E10489,45,Bachelors,Sales,Operator,24,38,164,0.446,4,2,0,Medium
E10490,57,High School,Production,Analyst,35,42,142,0.321,3,1,0,Low
E10491,54,Masters,IT,Executive,32,43,192,0.412,3,3,0,Low
E10492,50,Bachelors,HR,Analyst,33,50,153,0.884,4,5,0,Medium
E10493,44,Masters,R&D,Technician,27,42,147,0.522,2,4,0,Low
E10494,33,Bachelors,HR,Executive,16,39,152,0.796,2,2,0,Medium
E10495,37,Bachelors,Finance,Manager,22,35,135,0.872,3,2,0,Medium
E10496,26,Masters,IT,Technician,6,36,151,0.703,4,2,0,Medium
E10497,36,Bachelors,Production,Executive,21,38,155,0.646,3,1,0,Medium
E10498,57,Bachelors,HR,Engineer,36,39,175,0.724,1,2,0,Low
E10499,38,Bachelors,R&D,Operator,16,43,152,0.625,5,6,0,Medium
E10500,26,Bachelors,Sales,Executive,8,35,135,0.917,3,2,0,Medium
E10501,46,PhD,Production,Analyst,29,48,128,1.0,3,1,0,High
E10502,58,Bachelors,IT,Executive,36,38,164,0.961,5,3,0,High
E10503,54,Bachelors,IT,Manager,37,36,161,0.313,3,0,0,Medium
E10504,32,Masters,R&D,Manager,14,37,149,0.621,1,3,1,Low
E10505,39,Bachelors,HR,Executive,22,35,151,0.701,5,3,0,Medium
E10506,42,Masters,Production,Analyst,25,44,168,0.783,2,3,0,Medium
E10507,31,Bachelors,R&D,Engineer,9,54,188,0.389,5,2,0,Medium
E10508,32,Bachelors,Finance,Manager,12,35,144,0.386,3,4,0,Low
E10509,30,Masters,Sales,Technician,11,51,162,0.935,2,1,0,Medium
E10510,59,High School,HR,Operator,39,49,179,0.599,2,2,0,Medium
E10511,50,High School,Finance,Manager,30,51,144,0.432,5,3,0,Medium
E10512,53,Bachelors,Sales,Technician,33,43,160,0.501,5,3,0,Medium
E10513,53,Masters,Sales,Manager,34,53,159,0.77,1,2,0,Low
E10514,58,Masters,Finance,Engineer,40,32,134,0.552,5,3,0,Medium
E10515,26,Bachelors,HR,Analyst,6,38,163,0.743,5,3,0,Medium
E10516,55,High School,HR,Engineer,36,38,161,0.524,4,2,0,Medium
E10517,24,PhD,IT,Technician,6,44,171,0.386,1,4,0,Low
E10518,40,High School,HR,Technician,22,44,136,0.956,3,1,0,Medium
E10519,44,High School,Sales,Executive,26,45,160,0.772,3,1,1,Medium
E10520,35,Bachelors,Sales,Engineer,11,45,188,0.64,1,2,0,Low
E10521,27,Bachelors,Sales,Technician,9,37,202,0.606,5,2,0,Medium
E10522,29,Masters,Sales,Operator,11,52,186,0.964,4,2,0,High
E10523,53,Masters,Finance,Technician,31,44,136,0.806,1,2,0,Low
E10524,34,Masters,HR,Analyst,17,40,169,0.906,2,3,0,Medium
E10525,33,High School,Sales,Executive,14,35,150,0.595,5,5,0,Medium
E10526,57,Bachelors,Sales,Engineer,35,38,166,0.709,3,0,0,Medium
E10527,27,Bachelors,R&D,Operator,6,51,145,0.772,3,3,0,Medium
E10528,56,High School,Production,Technician,36,39,126,0.601,1,1,0,Low
E10529,56,Bachelors,R&D,Operator,38,38,153,0.683,1,4,0,Low
E10530,44,Bachelors,Sales,Operator,26,31,174,0.595,5,2,0,Medium
E10531,28,High School,HR,Engineer,14,38,166,0.772,5,2,0,Medium
E10532,27,Bachelors,R&D,Executive,4,37,168,0.462,1,3,0,Low
E10533,32,Masters,HR,Analyst,12,39,164,0.803,3,4,0,Medium
E10534,43,High School,Production,Analyst,19,44,168,0.756,4,3,1,Medium
E10535,27,Bachelors,Finance,Operator,7,43,171,0.663,5,0,0,Medium
E10536,39,Masters,R&D,Engineer,23,44,155,0.781,3,2,0,Medium
E10537,26,Masters,Production,Operator,2,34,162,0.634,5,3,0,Medium
E10538,42,Masters,HR,Manager,24,45,195,0.579,1,1,0,Low
E10539,22,Bachelors,Sales,Operator,1,44,163,0.798,1,0,0,Low
E10540,48,Masters,Production,Engineer,31,49,161,0.806,3,0,0,Medium
E10541,24,Bachelors,Production,Technician,2,34,162,0.609,2,0,0,Low
E10542,29,Bachelors,HR,Analyst,7,36,156,0.593,4,1,0,Medium
E10543,28,High School,IT,Analyst,5,48,151,0.667,2,1,0,Medium
E10544,53,Bachelors,HR,Manager,34,44,164,0.601,3,0,0,Medium
E10545,24,Bachelors,IT,Operator,3,46,150,0.975,3,0,0,Medium
E10546,38,Bachelors,Finance,Operator,19,34,157,0.757,5,1,0,Medium
E10547,44,Masters,Finance,Technician,20,29,144,0.703,1,1,0,Low
E10548,41,Bachelors,IT,Manager,21,34,162,0.532,3,2,0,Medium
E10549,47,Bachelors,Finance,Executive,27,47,172,0.833,2,2,0,Medium
E10550,52,High School,IT,Technician,29,38,156,0.59,1,6,0,Low
E10551,36,Bachelors,Finance,Manager,16,33,120,0.583,5,3,0,Medium
E10552,53,Bachelors,HR,Engineer,32,43,172,0.839,5,3,0,Medium
E10553,34,Bachelors,R&D,Analyst,13,47,162,0.77,1,1,0,Low
E10554,59,Bachelors,R&D,Technician,38,42,140,0.249,4,2,0,Low
E10555,41,Masters,IT,Technician,21,46,175,0.672,4,1,0,Medium
E10556,49,Masters,Sales,Technician,26,40,132,0.723,4,2,0,Medium
E10557,55,Bachelors,HR,Executive,39,43,181,0.639,3,2,0,Medium
E10558,52,Bachelors,Production,Engineer,33,49,159,0.729,2,6,0,Low
E10559,54,Masters,Sales,Operator,31,40,115,0.374,1,0,0,Low
E10560,42,PhD,IT,Technician,20,31,164,0.19,1,2,0,Low
E10561,23,Bachelors,IT,Manager,2,37,152,0.524,1,1,0,Low
E10562,40,Masters,R&D,Technician,23,38,149,0.751,3,1,0,Medium
E10563,28,Masters,Sales,Analyst,9,34,145,0.12,1,1,0,Low
E10564,55,Masters,Sales,Manager,34,42,157,0.548,4,3,0,Medium
E10565,30,Bachelors,HR,Engineer,7,44,150,0.354,4,2,0,Low
E10566,30,High School,Sales,Operator,13,38,123,0.656,2,2,0,Low
E10567,31,High School,Sales,Manager,11,40,185,1.0,1,0,0,Medium
E10568,46,Bachelors,Sales,Manager,26,31,155,0.661,3,2,0,Low
E10569,43,Bachelors,HR,Technician,28,33,145,0.681,5,2,0,Medium
E10570,58,Bachelors,Production,Technician,35,39,137,0.851,2,4,0,Medium
E10571,37,Bachelors,IT,Manager,21,43,175,0.704,5,2,0,Medium
E10572,32,Bachelors,Sales,Technician,16,39,134,0.661,2,1,0,Low
E10573,23,Masters,IT,Technician,2,27,163,0.867,1,4,0,Low
E10574,22,High School,Sales,Technician,1,41,148,0.785,4,2,0,Medium
E10575,36,Bachelors,R&D,Executive,19,40,149,0.752,5,0,0,High
E10576,57,Masters,Sales,Engineer,35,42,138,0.675,5,2,0,High
E10577,41,Masters,Sales,Technician,22,52,148,0.638,5,1,0,Medium
E10578,55,PhD,Sales,Technician,35,33,160,0.865,1,3,0,Low
E10579,25,Masters,R&D,Engineer,7,49,165,0.639,1,2,0,Low
E10580,25,Masters,R&D,Executive,4,44,144,0.922,3,4,0,Medium
E10581,53,Bachelors,R&D,Manager,36,43,158,0.512,5,0,0,Medium
E10582,26,Bachelors,IT,Executive,8,30,178,0.958,5,2,0,Medium
E10583,23,Bachelors,Finance,Manager,6,53,127,0.785,2,4,0,Low
E10584,37,Bachelors,Finance,Executive,20,37,160,0.526,2,4,0,Low
E10585,57,Masters,IT,Manager,37,36,141,0.792,4,1,0,Medium
E10586,48,Bachelors,IT,Operator,32,37,139,0.583,5,4,0,Medium
E10587,25,Bachelors,R&D,Engineer,7,46,165,0.706,1,2,0,Low
E10588,53,Bachelors,HR,Engineer,32,49,149,0.612,5,3,0,Medium
E10589,54,High School,R&D,Operator,31,45,136,0.676,5,3,0,Medium
E10590,52,High School,Sales,Analyst,28,38,186,0.869,1,2,0,Low
E10591,56,High School,Production,Analyst,37,52,178,0.793,5,0,0,High
E10592,31,Masters,R&D,Executive,13,45,121,0.497,4,1,0,Medium
E10593,59,Bachelors,Finance,Analyst,39,37,131,0.508,5,4,0,Medium
E10594,34,Masters,Production,Executive,16,48,172,0.749,2,1,0,Medium
E10595,52,Bachelors,R&D,Engineer,36,39,154,0.762,5,1,0,High
E10596,44,High School,Production,Technician,27,31,190,0.579,1,2,1,Medium
E10597,51,High School,R&D,Engineer,33,53,172,0.986,1,0,0,Medium
E10598,45,Masters,Sales,Executive,24,34,166,0.846,3,2,0,Medium
E10599,46,Bachelors,Sales,Operator,32,43,140,0.587,4,1,0,Medium
E10600,45,Masters,Sales,Operator,26,51,170,0.57,1,1,0,Low
E10601,51,High School,Production,Analyst,31,43,134,0.659,2,2,0,Low
E10602,50,Bachelors,R&D,Executive,36,43,186,0.64,2,1,0,Medium
E10603,27,Masters,HR,Operator,7,38,168,0.926,1,4,0,Low
E10604,53,Bachelors,R&D,Executive,34,40,144,0.877,1,1,0,Low
E10605,42,Bachelors,HR,Technician,21,39,176,0.706,1,2,1,Low
E10606,34,PhD,Production,Executive,16,38,205,0.822,5,1,1,High
E10607,41,Bachelors,Production,Analyst,21,36,156,0.848,5,3,0,Medium
E10608,58,Bachelors,Sales,Operator,40,46,171,0.71,4,0,0,Medium
E10609,54,Bachelors,Finance,Manager,39,36,151,0.772,4,1,0,Medium
E10610,53,Bachelors,R&D,Executive,37,47,162,0.807,1,1,0,Medium
E10611,39,Masters,Sales,Manager,17,45,130,0.788,1,6,1,Low
E10612,51,Masters,Production,Analyst,33,53,160,0.56,2,2,0,Low
E10613,36,Bachelors,Sales,Engineer,15,46,161,0.578,5,2,0,Medium
E10614,48,Masters,HR,Executive,28,38,196,0.648,3,0,0,Medium
E10615,46,Bachelors,Sales,Analyst,30,42,124,0.573,5,1,0,Medium
E10616,31,High School,R&D,Operator,7,33,154,0.435,2,3,0,Low
E10617,32,Bachelors,IT,Technician,14,41,186,0.822,2,5,0,Low
E10618,24,PhD,HR,Manager,0,33,155,0.762,5,3,0,Medium
E10619,27,High School,Sales,Engineer,11,43,157,0.459,3,2,0,Low
E10620,38,Bachelors,Sales,Manager,22,41,143,0.657,4,3,0,Medium
E10621,40,Bachelors,Production,Engineer,20,53,141,0.667,4,2,0,Medium
E10622,28,Masters,Finance,Technician,5,36,123,0.733,4,5,0,Medium
E10623,37,High School,Production,Operator,22,38,147,0.505,4,2,0,Medium
E10624,44,Bachelors,IT,Executive,20,52,140,0.456,5,1,1,Medium
E10625,30,Masters,IT,Executive,14,41,162,0.794,3,3,0,Medium
E10626,34,Bachelors,Finance,Operator,19,42,144,0.424,2,0,0,Low
E10627,35,High School,IT,Operator,13,58,150,0.658,3,1,0,Medium
E10628,41,High School,R&D,Executive,19,32,151,0.641,2,3,0,Low
E10629,35,Bachelors,HR,Manager,18,47,159,0.678,1,2,0,Low
E10630,50,Bachelors,R&D,Analyst,32,45,149,0.745,2,5,0,Medium
E10631,34,Masters,Sales,Engineer,16,43,139,0.988,3,2,0,Medium
E10632,38,Bachelors,HR,Analyst,17,45,162,0.412,3,3,0,Low
E10633,36,Bachelors,Finance,Technician,20,31,181,0.858,2,1,0,Medium
E10634,28,PhD,Production,Operator,11,33,163,0.248,4,0,0,Low
E10635,48,Bachelors,Sales,Operator,27,37,148,0.951,2,0,0,Medium
E10636,30,Bachelors,Sales,Manager,16,45,158,0.332,4,1,0,Low
E10637,33,Masters,Sales,Technician,15,45,119,1.0,2,2,1,Medium
E10638,52,Bachelors,Finance,Operator,32,42,157,0.63,5,1,0,Medium
E10639,58,Masters,HR,Analyst,40,46,152,0.932,4,0,0,High
E10640,47,Masters,HR,Engineer,30,46,141,0.895,3,2,0,Medium
E10641,56,High School,Sales,Operator,39,43,145,0.621,3,3,0,Low
E10642,54,Bachelors,Production,Technician,32,36,152,0.635,4,2,0,Medium
E10643,40,Bachelors,R&D,Engineer,19,36,180,0.549,3,2,0,Medium
E10644,51,High School,Finance,Manager,31,48,182,0.842,5,2,0,High
E10645,34,Bachelors,Finance,Engineer,14,38,141,0.624,1,6,0,Low
E10646,39,Bachelors,Sales,Operator,20,49,150,0.553,5,1,0,Medium
E10647,42,Masters,Finance,Manager,24,44,150,0.797,5,3,0,Medium
E10648,58,Masters,IT,Operator,40,42,176,0.539,2,1,0,Low
E10649,54,Masters,IT,Executive,37,46,163,0.641,2,1,0,Low
E10650,40,Bachelors,HR,Technician,20,54,162,0.719,5,4,1,High
E10651,46,Bachelors,Production,Engineer,27,42,171,0.584,3,2,0,Medium
E10652,29,Bachelors,Production,Executive,9,41,148,0.612,4,2,0,Low
E10653,52,High School,R&D,Manager,34,41,187,0.976,1,2,0,Medium
E10654,43,Masters,Sales,Manager,27,47,160,0.663,3,2,0,Low
E10655,42,Bachelors,Production,Operator,20,32,143,0.635,4,4,0,Medium
E10656,51,Bachelors,Production,Analyst,29,40,155,0.668,5,3,0,Medium
E10657,46,Masters,IT,Technician,27,40,185,0.782,3,3,0,Medium
E10658,24,Bachelors,IT,Executive,5,48,151,0.514,1,0,0,Low
E10659,32,High School,HR,Technician,13,29,179,0.777,3,2,0,Medium
E10660,28,High School,Sales,Technician,8,43,147,0.746,4,2,0,Medium
E10661,49,Bachelors,Production,Manager,28,39,145,0.378,5,5,0,Medium
E10662,23,Masters,R&D,Engineer,4,41,173,1.0,5,3,0,High
E10663,29,Bachelors,HR,Technician,10,43,143,0.963,4,2,0,Medium
E10664,44,Masters,Finance,Executive,26,34,176,0.556,1,1,0,Low
E10665,48,Masters,Sales,Manager,31,35,167,0.498,3,1,0,Low
E10666,41,Masters,Sales,Technician,22,32,143,0.741,3,4,0,Medium
E10667,54,Bachelors,HR,Analyst,37,43,159,0.443,3,1,0,Medium
E10668,56,High School,R&D,Manager,40,31,149,0.946,5,0,0,High
E10669,27,Masters,R&D,Technician,10,41,167,0.616,5,0,0,Medium
E10670,58,Bachelors,HR,Operator,40,33,198,0.992,2,1,0,Medium
E10671,45,Bachelors,R&D,Manager,23,52,153,0.552,5,1,0,Medium
E10672,46,Masters,R&D,Executive,27,34,171,0.68,5,0,0,Medium
E10673,25,High School,IT,Manager,5,37,160,0.928,4,3,0,Medium
E10674,45,Masters,IT,Technician,24,36,160,0.642,2,0,0,Medium
E10675,49,Masters,Production,Manager,28,38,157,0.749,4,2,0,Medium
E10676,44,Masters,Finance,Operator,27,40,143,0.897,3,2,0,Medium
E10677,25,Bachelors,HR,Engineer,2,31,167,0.6,5,4,0,Medium
E10678,41,Masters,Production,Engineer,24,35,154,0.473,4,3,0,Medium
E10679,57,Bachelors,IT,Operator,40,41,142,0.437,5,1,0,Medium
E10680,49,Masters,HR,Technician,27,27,180,0.805,3,4,0,Medium
E10681,27,Masters,R&D,Manager,11,37,162,0.77,1,2,0,Low
E10682,58,Masters,Finance,Manager,40,43,155,0.891,3,1,0,High
E10683,58,Bachelors,Finance,Manager,40,39,187,0.651,5,3,0,Medium
E10684,28,High School,R&D,Operator,6,37,123,0.442,4,2,0,Low
E10685,52,Bachelors,Sales,Engineer,32,37,185,0.277,4,1,1,Medium
E10686,37,Bachelors,HR,Manager,16,33,142,1.0,4,4,0,High
E10687,44,Bachelors,Sales,Executive,24,41,164,0.795,3,1,0,Medium
E10688,38,Bachelors,Finance,Engineer,17,35,148,0.725,1,1,1,Low
E10689,51,Bachelors,IT,Operator,32,29,142,0.75,3,7,0,Medium
E10690,59,Masters,R&D,Analyst,40,39,186,0.442,1,0,0,Low
E10691,52,Masters,Finance,Technician,37,42,197,0.557,2,3,0,Medium
E10692,57,Bachelors,Finance,Technician,39,28,156,1.0,4,2,0,Medium
E10693,57,Masters,Finance,Operator,38,32,167,0.819,5,3,0,Medium
E10694,25,Bachelors,Sales,Analyst,4,46,161,0.563,2,2,0,Low
E10695,31,Bachelors,IT,Technician,11,45,195,0.479,4,2,0,Medium
E10696,49,High School,Production,Operator,33,32,118,0.607,2,2,0,Low
E10697,44,Masters,Finance,Engineer,24,35,168,0.643,2,1,0,Low
E10698,23,PhD,HR,Analyst,3,46,145,1.0,5,4,0,High
E10699,25,Masters,R&D,Operator,9,40,113,0.666,4,4,0,Medium
E10700,41,Masters,Production,Engineer,24,46,153,0.486,1,4,0,Low
E10701,45,PhD,Sales,Executive,24,32,197,0.689,1,0,0,Low
E10702,28,Bachelors,IT,Technician,11,33,147,0.748,1,2,0,Low
E10703,28,Bachelors,Sales,Manager,9,36,176,0.47,3,2,0,Low
E10704,26,Bachelors,Production,Operator,5,34,184,0.772,1,3,0,Low
E10705,43,PhD,Sales,Engineer,24,40,160,0.918,3,2,0,Medium
E10706,22,High School,Sales,Engineer,1,32,162,0.725,3,3,0,Medium
E10707,43,Bachelors,HR,Manager,23,44,126,0.557,4,1,0,Medium
E10708,40,Masters,HR,Analyst,20,46,146,0.605,2,2,0,Low
E10709,39,Bachelors,R&D,Technician,16,34,178,0.401,1,0,0,Low
E10710,47,Masters,HR,Executive,31,41,161,0.676,1,1,0,Low
E10711,41,Bachelors,R&D,Operator,19,46,167,0.756,1,3,0,Low
E10712,49,PhD,IT,Technician,28,44,163,0.539,1,0,0,Low
E10713,51,Masters,IT,Technician,30,40,204,1.0,2,3,0,Medium
E10714,56,Bachelors,Production,Engineer,38,31,151,0.843,5,0,1,High
E10715,52,Masters,R&D,Executive,36,34,192,0.377,4,2,0,Medium
E10716,41,Bachelors,IT,Operator,19,38,163,0.381,2,0,0,Low
E10717,40,Bachelors,Finance,Analyst,22,45,194,0.523,5,0,0,Medium
E10718,30,Bachelors,HR,Engineer,14,41,136,0.983,4,2,0,Medium
E10719,44,Masters,Finance,Operator,23,46,164,0.86,4,1,0,High
E10720,27,High School,Production,Operator,9,33,152,0.992,5,2,0,High
E10721,57,Bachelors,HR,Executive,36,41,163,0.702,4,0,0,Medium
E10722,54,Masters,HR,Operator,36,46,184,0.662,5,1,0,High
E10723,26,Bachelors,R&D,Engineer,11,44,168,0.475,2,1,0,Low
E10724,51,Bachelors,HR,Technician,32,32,184,0.763,5,4,0,Medium
E10725,26,High School,IT,Engineer,10,35,147,0.665,1,4,0,Low
E10726,49,Bachelors,Production,Technician,28,38,144,0.658,2,3,0,Low
